,accuracy/valid,accuracy/test,accuracy/full,data,validation_loss,validation_data,model,mode,template_type
97,0.16666666666666666,0.32456140350877194,0.30952380952380953,u2,344.8817741297468,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c923/prompt.json
98,0.3125,0.3101851851851852,0.3104166666666667,u4,344.8817741297468,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c923/prompt.json
99,0.28,0.33,0.32545454545454544,google,344.8817741297468,semeval2012,roberta-large,average_no_mask,./relbert_output/prompt_files/roberta_c923/prompt.json
0,0.6331658291457286,0.6664813785436353,0.6631631631631631,bats,4.632313402393196,semeval2012,relbert_output/ckpt/albert_custom_a/epoch_2,average_no_mask,
1,0.43243243243243246,0.39762611275964393,0.40106951871657753,sat,4.632313402393196,semeval2012,relbert_output/ckpt/albert_custom_a/epoch_2,average_no_mask,
2,0.4583333333333333,0.36403508771929827,0.373015873015873,u2,4.632313402393196,semeval2012,relbert_output/ckpt/albert_custom_a/epoch_2,average_no_mask,
3,0.3541666666666667,0.3888888888888889,0.3854166666666667,u4,4.632313402393196,semeval2012,relbert_output/ckpt/albert_custom_a/epoch_2,average_no_mask,
4,0.74,0.734,0.7345454545454545,google,4.632313402393196,semeval2012,relbert_output/ckpt/albert_custom_a/epoch_2,average_no_mask,
5,0.40703517587939697,0.462479155086159,0.456956956956957,bats,1.389891950390007,semeval2012,relbert_output/ckpt/albert_custom_b/epoch_2,average_no_mask,
6,0.35135135135135137,0.3056379821958457,0.31016042780748665,sat,1.389891950390007,semeval2012,relbert_output/ckpt/albert_custom_b/epoch_2,average_no_mask,
7,0.20833333333333334,0.29385964912280704,0.2857142857142857,u2,1.389891950390007,semeval2012,relbert_output/ckpt/albert_custom_b/epoch_2,average_no_mask,
8,0.375,0.3125,0.31875,u4,1.389891950390007,semeval2012,relbert_output/ckpt/albert_custom_b/epoch_2,average_no_mask,
9,0.38,0.36,0.3618181818181818,google,1.389891950390007,semeval2012,relbert_output/ckpt/albert_custom_b/epoch_2,average_no_mask,
10,0.6180904522613065,0.622568093385214,0.6221221221221221,bats,1.4987301403963114,semeval2012,relbert_output/ckpt/albert_custom_c/epoch_2,average_no_mask,
