,accuracy/valid,accuracy/test,accuracy/full,data,validation_loss,validation_data,model,mode,template_type,template
67,0.4166666666666667,0.5394736842105263,0.5277777777777778,u2,2.0365566784822486,semeval2012,ckpt/roberta_mining_top_3/epoch_1,average_no_mask,,Trucks enter on the <obj> end and exit on the <subj> end.
68,0.4166666666666667,0.49537037037037035,0.4875,u4,2.0365566784822486,semeval2012,ckpt/roberta_mining_top_3/epoch_1,average_no_mask,,Trucks enter on the <obj> end and exit on the <subj> end.
69,0.78,0.732,0.7363636363636363,google,2.0365566784822486,semeval2012,ckpt/roberta_mining_top_3/epoch_1,average_no_mask,,Trucks enter on the <obj> end and exit on the <subj> end.
70,0.7236180904522613,0.7120622568093385,0.7132132132132132,bats,3.5917145934285997,semeval2012,ckpt/roberta_mining_top_4/epoch_1,average_no_mask,,Her <subj> is from Diyarbakır and her <obj> is from Kastamonu.
71,0.43243243243243246,0.543026706231454,0.5320855614973262,sat,3.5917145934285997,semeval2012,ckpt/roberta_mining_top_4/epoch_1,average_no_mask,,Her <subj> is from Diyarbakır and her <obj> is from Kastamonu.
72,0.4583333333333333,0.5482456140350878,0.5396825396825397,u2,3.5917145934285997,semeval2012,ckpt/roberta_mining_top_4/epoch_1,average_no_mask,,Her <subj> is from Diyarbakır and her <obj> is from Kastamonu.
73,0.6041666666666666,0.5625,0.5666666666666667,u4,3.5917145934285997,semeval2012,ckpt/roberta_mining_top_4/epoch_1,average_no_mask,,Her <subj> is from Diyarbakır and her <obj> is from Kastamonu.
74,0.84,0.794,0.7981818181818182,google,3.5917145934285997,semeval2012,ckpt/roberta_mining_top_4/epoch_1,average_no_mask,,Her <subj> is from Diyarbakır and her <obj> is from Kastamonu.
75,0.6532663316582915,0.679266259032796,0.6766766766766766,bats,2.4642107999777494,semeval2012,ckpt/roberta_mining_top_5/epoch_1,average_no_mask,,"His <obj> is Serpil Özyavuz, and his <subj> is Mehmet Özyavuz."
76,0.4864864864864865,0.5341246290801187,0.5294117647058824,sat,2.4642107999777494,semeval2012,ckpt/roberta_mining_top_5/epoch_1,average_no_mask,,"His <obj> is Serpil Özyavuz, and his <subj> is Mehmet Özyavuz."
77,0.375,0.5526315789473685,0.5357142857142857,u2,2.4642107999777494,semeval2012,ckpt/roberta_mining_top_5/epoch_1,average_no_mask,,"His <obj> is Serpil Özyavuz, and his <subj> is Mehmet Özyavuz."
78,0.5208333333333334,0.5486111111111112,0.5458333333333333,u4,2.4642107999777494,semeval2012,ckpt/roberta_mining_top_5/epoch_1,average_no_mask,,"His <obj> is Serpil Özyavuz, and his <subj> is Mehmet Özyavuz."
79,0.76,0.806,0.8018181818181818,google,2.4642107999777494,semeval2012,ckpt/roberta_mining_top_5/epoch_1,average_no_mask,,"His <obj> is Serpil Özyavuz, and his <subj> is Mehmet Özyavuz."
80,0.7336683417085427,0.6937187326292384,0.6976976976976977,bats,2.8451102534426918,semeval2012,ckpt/roberta_mining_top_6/epoch_1,average_no_mask,,"Her <subj> was Caddo, and her <obj> was Potawatomi."
81,0.5135135135135135,0.5608308605341247,0.556149732620321,sat,2.8451102534426918,semeval2012,ckpt/roberta_mining_top_6/epoch_1,average_no_mask,,"Her <subj> was Caddo, and her <obj> was Potawatomi."
82,0.4583333333333333,0.543859649122807,0.5357142857142857,u2,2.8451102534426918,semeval2012,ckpt/roberta_mining_top_6/epoch_1,average_no_mask,,"Her <subj> was Caddo, and her <obj> was Potawatomi."
83,0.4375,0.5509259259259259,0.5395833333333333,u4,2.8451102534426918,semeval2012,ckpt/roberta_mining_top_6/epoch_1,average_no_mask,,"Her <subj> was Caddo, and her <obj> was Potawatomi."
84,0.88,0.794,0.8018181818181818,google,2.8451102534426918,semeval2012,ckpt/roberta_mining_top_6/epoch_1,average_no_mask,,"Her <subj> was Caddo, and her <obj> was Potawatomi."
85,0.6432160804020101,0.6642579210672596,0.6621621621621622,bats,2.7821049750605717,semeval2012,ckpt/roberta_mining_top_7/epoch_1,average_no_mask,,Her <subj> was from Kottayam and her <obj> was from Palakkad.
86,0.5135135135135135,0.49258160237388726,0.4946524064171123,sat,2.7821049750605717,semeval2012,ckpt/roberta_mining_top_7/epoch_1,average_no_mask,,Her <subj> was from Kottayam and her <obj> was from Palakkad.
87,0.4166666666666667,0.543859649122807,0.5317460317460317,u2,2.7821049750605717,semeval2012,ckpt/roberta_mining_top_7/epoch_1,average_no_mask,,Her <subj> was from Kottayam and her <obj> was from Palakkad.
88,0.4791666666666667,0.5393518518518519,0.5333333333333333,u4,2.7821049750605717,semeval2012,ckpt/roberta_mining_top_7/epoch_1,average_no_mask,,Her <subj> was from Kottayam and her <obj> was from Palakkad.
89,0.68,0.744,0.7381818181818182,google,2.7821049750605717,semeval2012,ckpt/roberta_mining_top_7/epoch_1,average_no_mask,,Her <subj> was from Kottayam and her <obj> was from Palakkad.
90,0.6432160804020101,0.632017787659811,0.6331331331331331,bats,2.0737155962593947,semeval2012,ckpt/roberta_mining_top_8/epoch_1,average_no_mask,,"And then, suddenly, it's <obj> with the old and <subj> with the new."
91,0.35135135135135137,0.49851632047477745,0.4839572192513369,sat,2.0737155962593947,semeval2012,ckpt/roberta_mining_top_8/epoch_1,average_no_mask,,"And then, suddenly, it's <obj> with the old and <subj> with the new."
92,0.375,0.4517543859649123,0.4444444444444444,u2,2.0737155962593947,semeval2012,ckpt/roberta_mining_top_8/epoch_1,average_no_mask,,"And then, suddenly, it's <obj> with the old and <subj> with the new."
93,0.4791666666666667,0.47685185185185186,0.47708333333333336,u4,2.0737155962593947,semeval2012,ckpt/roberta_mining_top_8/epoch_1,average_no_mask,,"And then, suddenly, it's <obj> with the old and <subj> with the new."
94,0.72,0.816,0.8072727272727273,google,2.0737155962593947,semeval2012,ckpt/roberta_mining_top_8/epoch_1,average_no_mask,,"And then, suddenly, it's <obj> with the old and <subj> with the new."
95,0.7236180904522613,0.707615341856587,0.7092092092092092,bats,2.1866429968725276,semeval2012,ckpt/roberta_mining_top_9/epoch_1,average_no_mask,,There are <obj> things and there are <subj> things.
96,0.5135135135135135,0.5489614243323442,0.5454545454545454,sat,2.1866429968725276,semeval2012,ckpt/roberta_mining_top_9/epoch_1,average_no_mask,,There are <obj> things and there are <subj> things.
97,0.4583333333333333,0.5307017543859649,0.5238095238095238,u2,2.1866429968725276,semeval2012,ckpt/roberta_mining_top_9/epoch_1,average_no_mask,,There are <obj> things and there are <subj> things.
98,0.5416666666666666,0.5833333333333334,0.5791666666666667,u4,2.1866429968725276,semeval2012,ckpt/roberta_mining_top_9/epoch_1,average_no_mask,,There are <obj> things and there are <subj> things.
99,0.84,0.82,0.8218181818181818,google,2.1866429968725276,semeval2012,ckpt/roberta_mining_top_9/epoch_1,average_no_mask,,There are <obj> things and there are <subj> things.
