,distance_function,sat/test,u2/test,u4/test,google/test,bats/test,sat_full,loss,data,prompt,method,classification_loss,validation,loss_value,loss_name,loss_split,lexical_relation_classification/BLESS,lexical_relation_classification/CogALexV,lexical_relation_classification/EVALution,lexical_relation_classification/K&H+N,lexical_relation_classification/ROOT09,relation_mapping_accuracy
20,cosine_similarity,0.5281899109792285,0.4342105263157895,0.5069444444444444,0.724,0.632017787659811,0.516042780748663,nce,semeval2012,b,average-no-mask,True,conceptnet,6.4037681848574906,relbert/conceptnet_high_confidence,full,0.9034202199789061,0.8342723004694835,0.6581798483206934,0.9604228976838005,0.8909432779692886,0.8167460317460318
21,cosine_similarity,0.5281899109792285,0.4342105263157895,0.5069444444444444,0.724,0.632017787659811,0.516042780748663,nce,semeval2012,b,average-no-mask,True,,5.523902590355177,relbert/semeval2012_relational_similarity,validation,0.9034202199789061,0.8342723004694835,0.6581798483206934,0.9604228976838005,0.8909432779692886,0.8020238095238095
22,cosine_similarity,0.5964391691394659,0.5043859649122807,0.5902777777777778,0.87,0.7559755419677598,0.5962566844919787,nce,semeval2012,b,average-no-mask,False,conceptnet,5.8998637321667795,relbert/conceptnet_high_confidence,full,0.9135151423836071,0.8568075117370892,0.6793066088840737,0.9559713431174793,0.8934503290504543,0.8476587301587302
23,cosine_similarity,0.6142433234421365,0.5394736842105263,0.6018518518518519,0.93,0.7865480822679266,0.6122994652406417,nce,semeval2012,b,average-no-mask,False,,4.943397164344788,relbert/semeval2012_relational_similarity,validation,0.9174325749585657,0.855868544600939,0.6836403033586133,0.9517284551714544,0.9019116264493889,0.8173412698412699
24,cosine_similarity,0.3086053412462908,0.34649122807017546,0.3611111111111111,0.63,0.46192329071706506,0.31283422459893045,nce,semeval2012,c,average,True,conceptnet,7.410656305459829,relbert/conceptnet_high_confidence,full,0.8457134247400934,0.846244131455399,0.6262188515709642,0.9545802323155039,0.9044186775305547,0.6846626984126984
25,cosine_similarity,0.3086053412462908,0.34649122807017546,0.3611111111111111,0.63,0.46192329071706506,0.31283422459893045,nce,semeval2012,c,average,True,,6.777457906958762,relbert/semeval2012_relational_similarity,validation,0.8457134247400934,0.846244131455399,0.6262188515709642,0.9545802323155039,0.9044186775305547,0.679702380952381
26,cosine_similarity,0.5964391691394659,0.5833333333333334,0.6273148148148148,0.926,0.7871039466370205,0.5935828877005348,nce,semeval2012,c,average,False,conceptnet,5.861163995204827,relbert/conceptnet_high_confidence,full,0.906282959168299,0.8690140845070422,0.6841820151679306,0.9607706753842944,0.9122532121591977,0.8667460317460317
27,cosine_similarity,0.655786350148368,0.618421052631579,0.6782407407407407,0.956,0.8132295719844358,0.6577540106951871,nce,semeval2012,c,average,False,,4.778969878561042,relbert/semeval2012_relational_similarity,validation,0.9202953141479584,0.8737089201877934,0.6895991332611051,0.960283786603603,0.9204011281729865,0.866547619047619
28,cosine_similarity,0.314540059347181,0.34649122807017546,0.3125,0.43,0.4118954974986103,0.3235294117647059,nce,semeval2012,c,mask,True,conceptnet,7.027958613175612,relbert/conceptnet_high_confidence,full,0.8142232936567726,0.7779342723004695,0.5357529794149513,0.8190164846630034,0.8834221247257913,0.5911706349206349
29,cosine_similarity,0.29080118694362017,0.33771929824561403,0.3263888888888889,0.486,0.3913285158421345,0.2914438502673797,nce,semeval2012,c,mask,True,,6.76231038168575,relbert/semeval2012_relational_similarity,validation,0.8392345939430466,0.7570422535211268,0.5926327193932828,0.9392780134937748,0.8934503290504543,0.5331547619047619
